专业/职业 プロ
主席[主席] しゅせき
薄型[薄型] うすがた
机种[機種] きしゅ
海水浴[海水浴] かいすいよく
酒精/乙醇/酒 アルコール
中毒[中毒] ちゅうどく
缺点/弱点[欠点] けってん
安定/稳定[安定] あんてい
担心/闷闷不乐 くよくよ
父亲大人[お父様] おとうさま
可怜/悲惨(形2)[気の毒] きのどく
诊断(动2)[診る] みる
运动服 スポーツウェア
抗生素[抗生物質] こうせいぶっしつ
止咳药/止咳剂[せき止め] せきどめ
痒(形1)[痒い] かゆい
止痛药[痛み止め] いたみどめ
真可怜[お気の毒に] おきのどくに
去/到/前往[足を伸ばす] あしをのばす
得分(动3)[得点する] とくてんする
有力/有势力(形2)[有力] ゆうりょく
候选人/候补[候補] こうほ
落选(动3)[落選する] らくせんする
共同[共同] きょうどう
发挥/有效利用(动1)[生かす] いかす
保险证[保険証] ほけんしょう
中旬[中旬] ちゅうじゅん
下旬[下旬] げじゅん
布告板/告示牌/告示栏/公告栏[掲示板] けいじばん
等候/约会/碰头[待ち合わせ] まちあわせ
稀薄(形2)[希薄] きはく
混乱(动3)[混乱する] こんらんする
收拾/整理[片づけ] かたづけ
更衣/更换的衣服[着替え] きがえ
准备活动[準備運動] じゅんびうんどう
计算机[計算機] けいさんき
分店经理/分公司经理[支店長] してんちょう
隆冬/深冬[真冬] まふゆ
考上/考中/及格(动1)[受かる] うかる
玩笑/笑话/诙谐 ジョーク
疑点/争论点[問題点] もんだいてん
赶上/追上/来得及(动1)[追いつく] おいつく
大声[大声] おおごえ
机舱内/飞机内[機内] きない
相识/结识(动1)[知り合う] しりあう
青春期[思春期] ししゅんき
抛弃/离弃(动2)[見捨てる] みすてる
同意/答应/应允/承诺[承諾] しょうだく
类型/类别 タイプ
提高/增高(动3) アップする
高原[高原] たかはら
南公安局[南警察署] みなみけいさつしょ
山下[山下] やました
犯罪[犯罪] はんざい
开幕[開幕] かいまく
节日前夜的庆祝活动[前夜祭] ぜんやさい
该馆/本馆/这个馆[当館] とうかん
馆长[館長] かんちょう
仪式[儀式] ぎしき
道理/情理[道理] どうり
有线对讲机/内线电话 インターホン
夸大/夸张/小题大做(形2)[大げさ] おおげさ
遵守/遵从/服从/跟随(动1)[従う] したがう
某种程度/一定程度[ある程度] あるていど
暴跌/快速下跌/快速降落[急落] きゅうらく
迟缓/延迟/迟到[遅れ] おくれ
团结(动3)[団結する] だんけつする
进攻/攻击(动2)[攻める] せめる
态度/姿态/姿势[姿勢] しせい
克服(动3)[克服する] こくふくする
国产[国産] こくさん
限度/界限/范围[限度] げんど
麻烦/费事[手がかかる] てがかかる
晋级/升级/高升[昇進] しょうしん
决心/决意/下狠心(动1)[思い切る] おもいきる
系/束/系紧/结算(动2)[締める] しめる
统治/指使/支配/控制(动3)[支配する] しはいする
保证/担保/打保票(动3)[保証する] ほしょうする
吸尘器/除尘器[掃除機] そうじき
摄取/吸收/吮吸(动1)[吸い取る] すいとる
广告词/宣传口号 キャッチフレーズ
厚脸皮/无耻/厚颜无耻(形1) ずうずうしい
粗心大意/马大哈/马虎(形1) そそっかしい
社会/世上/世人/人世[世間] せけん
天数[日数] にっすう
现场/当地[現地] げんち
