一心[一心] いっしん
新作品/新创作[新作] しんさく
票房/公演/演出/上映[興行] こうぎょう
第一位/首位/第一名 トップ
预料/估计/可能性[見込み] みこみ
动作片/武打剧/动作 アクション
这么说来/这么说 そうすると
缘故/理由/原因 わけ
他们[彼ら] かれら
口碑/口头互传/口头推荐 くちコミ
电影/影像[映像] えいぞう
感觉/觉得/好像(短语) きがある
～们/～等 ら
同～/相同～ どう
真的/真话/真实/事实[真実] しんじつ
方针/方向[方針] ほうしん
退休/退休年龄[定年] ていねん
很快/一下子/忽然/骤然 さっと
衣橱/衣柜 たんす
节约[節約] せつやく
基督教 キリストきょう
传教士[宣教師] せんきょうし
规则/章程 ルール
川田[川田] かわだ
线[線] せん
田地/稻田/水田[田んぼ] たんぼ
宣传媒介 マスコミ
着迷/入迷[夢中] むちゅう
情景/景象/光景[光景] こうけい
成年人/大人[成人] せいじん
蜡笔小新 クレヨンしんちゃん
机器猫 ドラえもん 
樱桃小丸子 ちびまるこちゃん
铁臂阿童木[鉄腕～] てつわんアトム
图像质量/画面质量[画質] がしつ
比较的事物[比べもの] くらべもの
数码技术/数字技术[～技術] デジタルぎじゅつ
栩栩如生/生动/生气勃勃 いきいき
诞生/创作出/产生(动1)[生み出す] うみだす
提高/抬高(动2)[高める] たかめる
扩大/传播/遍及(动1)[広まる] ひろまる
推广/扩大(动2)[広める] ひろめる
强烈起来/强硬起来(动1)[強まる] つよまる
加强/增强(动2)[強める] つよめる
变弱/衰弱(动1)[弱まる] よわまる
弱化/减弱(动2)[弱める] よわめる
加深/变深(动1)[深まる] ふかまる
冲淡/稀释/淡化(动2)[薄める] うすめる
通过/穿过/穿通(动1) とおす
区分/区别(动3)[区別する] くべつする
接受/采纳(动2)[受け入れる] うけいれる
抓住/掌握住(动1) つかむ
评价(动3)[評価する] ひょうかする
关于/有关(动3)[関する] かんする
非常畅销/大受欢迎(动3) ヒットする
超过/超出(动1)[抜く] ぬく
提供(动3)[提供する] ていきょうする
高涨/提高(动1)[高まる] たかまる
主演(动3)[主演する] しゅえんする
公映/公开/开映/开放(动3)[公開する] こうかいする
