龙虎酒业公司 りゅうこしゅぞう
竟然/多么/怎样 なんと
队长/首领/船长 キャプテン
是嘛/嗯 ふうん
信赖/相信(动3)[信頼する] しんらいする
午饭/午餐[お昼] おひる
拖延/拖长(动1)[長引く] ながびく
热情/热心(形2)[熱心] ねっしん
照料/麻烦[面倒] めんどう
正是/真正是/的确/实在/确实 まさに
理想[理想] りそう
照顾/照料(短语)[面倒を見る] めんどうをみる
可不是嘛/是呀/是啊/那是(短语) それはもう
有意/有心/担心/挂念(短语) きになる
股票价格/股价[株価] かぶか
只/仅 たった
戏剧/话剧/演技[芝居] しばい
知道了/了解/领会/谅解[了解] りょうかい
是是 はいはい
咳嗽 せき
流行/时髦(动1) はやる
打扮/装饰(动3) おしゃれする
非常麻烦(形1)[面倒くさい] めんどうくさい
手包 ハンドバッグ
丈夫[夫] おっと
幸存/保住性命(动1)[生き残る] いきのこる
奇迹[奇跡] きせき
文化节/节日庆祝集会/庙会/节日[祭り] まつり
病倒/倒下/倒塌/倒闭(动2)[倒れる] たおれる
各式各样/形形色色(形2) さまざま
餐叉/叉子 フォーク
西餐[洋食] ようしょく
日餐/日式饭菜[和食] わしょく
汤匙/调羹 れんげ
碗/木碗 おわん
端起/拿起/举起(动2)[持ち上げる] もちあげる
嘴/口[口] くち
配料/材料/工具/手段[具] ぐ
材料[材料] ざいりょう
地域/地区[地域] ちいき
竹子[竹] たけ
玉/玉器[玉] ぎょく
金属[金属] きんぞく
略显/稍稍/稍微(形2) やや
扁平/平/平坦[平ら] たいら
不锈钢 ステンレス
最前端/尖儿/前面[先] さき
尖/尖细/紧张/发怒(动1) とがる
生漆/漆/漆器[漆] うるし
涂/擦/抹(动1)[塗る] ぬる
专用[専用] せんよう
茶杯/饭碗[茶わん] ちゃわん
大盘子[大皿] おおざら
公用筷子/公筷[取りばし] とりばし
正规/正式(形2)[正式] せいしき
礼节/规矩/礼貌 マナー
越南 ベトナム
文化[文化] ぶんか
实在/的确/确实[実に] じつに
旅游/(短途或时间短的)旅行 ツアー
欧美/欧洲和美洲[欧米] おうべい
西式房间[洋室] ようしつ
和服/日式传统服装[和服] わふく
日式糕点[和菓子] わがし
西式糕点[洋菓子] ようがし
日式[和式] わしき
西式[洋式] ようしき
日式风格[和風] わふう
西式风格[洋風] ようふう
农村[農村] のうそん
跑步/赛跑 ランニング
泡沫苯乙烯[発泡～] はっぽうスチロール 
塑料薄膜/乙烯基 ビニール
非火燃烧垃圾/不可燃垃圾[不燃～] ふねんごみ
牛仔裤/工装裤 ジーンズ
苗条/漂亮/洒脱(形2) スマート
鳗鱼/鳗鲡[鰻] うなぎ
通体/全身[全身] ぜんしん
早餐/早点[朝食] ちょうしょく
情人节 バレンタインデー
赠送/授予(动1)[贈る] おくる
时机/时候 タイミング
